Nr,sequence,image,x,y,z,theta_x,theta_y,theta_z
/00,2011_10_03_drive_0027,/000000,5.55E-17,3.33E-16,-4.44E-16,2.39E-10,-2.33E-11,9.04E-12
/00,2011_10_03_drive_0027,/000001,-0.04690294,-0.02839928,0.8586941,0.001155961,-0.002066326,-0.000529652
/00,2011_10_03_drive_0027,/000002,-0.09374345,-0.05676064,1.716275,0.002312478,-0.004128925,-0.001058523
/00,2011_10_03_drive_0027,/000003,-0.1406429,-0.08515762,2.574964,0.003472553,-0.006193142,-0.001587983
/00,2011_10_03_drive_0027,/000004,-0.1874858,-0.1135202,3.432648,0.004633324,-0.008253892,-0.002116738
/00,2011_10_03_drive_0027,/000005,-0.2343818,-0.141915,4.291335,0.005797511,-0.010315994,-0.002646025
/00,2011_10_03_drive_0027,/000006,-0.2812195,-0.1702743,5.148987,0.006962349,-0.012374567,-0.003174598
/00,2011_10_03_drive_0027,/000007,-0.3281178,-0.1986703,6.007777,0.00813079,-0.014434802,-0.003703797
/00,2011_10_03_drive_0027,/000008,-0.3749547,-0.227029,6.865477,0.0092998,-0.016491379,-0.004232257
/00,2011_10_03_drive_0027,/000009,-0.4218367,-0.2554151,7.724036,0.010472033,-0.018548945,-0.004761179
/00,2011_10_03_drive_0027,/000010,-0.4687329,-0.2838096,8.582886,0.011646727,-0.02060616,-0.005290219
/00,2011_10_03_drive_0027,/000011,-0.5155474,-0.3121547,9.440275,0.012821463,-0.022658799,-0.005818307
/00,2011_10_03_drive_0027,/000012,-0.562431,-0.3405416,10.29896,0.014000033,-0.024713497,-0.006347141
/00,2011_10_03_drive_0027,/000013,-0.6093087,-0.368925,11.15757,0.015180551,-0.026766936,-0.006875882
/00,2011_10_03_drive_0027,/000014,-0.6562052,-0.3973964,12.01541,0.016450238,-0.028826915,-0.00753365
/00,2011_10_03_drive_0027,/000015,-0.7018788,-0.4239119,12.86965,0.016291441,-0.030724667,-0.006096597
/00,2011_10_03_drive_0027,/000016,-0.7498241,-0.4540039,13.73146,0.018732133,-0.032916086,-0.008460772
/00,2011_10_03_drive_0027,/000017,-0.7992511,-0.484077,14.60026,0.02138298,-0.034548366,-0.009445198
/00,2011_10_03_drive_0027,/000018,-0.8546642,-0.515507,15.47957,0.023460562,-0.036459768,-0.013215927
/00,2011_10_03_drive_0027,/000019,-0.9072868,-0.5464705,16.3694,0.023172135,-0.037787185,-0.014402387
/00,2011_10_03_drive_0027,/000020,-0.9609163,-0.5783595,17.26896,0.021481031,-0.039399523,-0.014137482
/00,2011_10_03_drive_0027,/000021,-1.011589,-0.6092403,18.17318,0.020028652,-0.040916997,-0.014336849
/00,2011_10_03_drive_0027,/000022,-1.066256,-0.6387363,19.08411,0.019542838,-0.042109965,-0.013873893
/00,2011_10_03_drive_0027,/000023,-1.118651,-0.6686219,19.99722,0.020202344,-0.043861216,-0.014149019
/00,2011_10_03_drive_0027,/000024,-1.17184,-0.6990778,20.91368,0.02134419,-0.044950928,-0.012490711
/00,2011_10_03_drive_0027,/000025,-1.224279,-0.7287421,21.84042,0.019747775,-0.045737497,-0.012194374
/00,2011_10_03_drive_0027,/000026,-1.280807,-0.7604717,22.77432,0.015885866,-0.045757199,-0.013722913
/00,2011_10_03_drive_0027,/000027,-1.334841,-0.7929673,23.70953,0.012214277,-0.044942889,-0.01434055
